list,item,condition,type,sentence,question,correct
1,1,locative,src,The student that threatened the teacher in the classroom skipped the reading for the week.,Did the student threaten the teacher?,1
2,1,locative,orc,The student that the teacher threatened in the classroom skipped the reading for the week.,Did the student threaten the teacher?,0
3,1,temporal,src,The student that threatened the teacher after the class skipped the reading for the week.,Did the student threaten the teacher?,1
4,1,temporal,orc,The student that the teacher threatened after the class skipped the reading for the week.,Did the student threaten the teacher?,0
2,2,locative,src,The employee that spotted the fireman in the building hurried across the open field.,Did the employee spot the fireman?,1
3,2,locative,orc,The employee that the fireman spotted in the building hurried across the open field.,Did the employee spot the fireman?,0
4,2,temporal,src,The employee that spotted the fireman before the game hurried across the open field.,Did the employee spot the fireman?,1
1,2,temporal,orc,The employee that the fireman spotted before the game hurried across the open field.,Did the employee spot the fireman?,0
3,3,locative,src,The judge that addressed the witnesses on the stand noticed the defense attorneys.,Did the judge address the witnesses?,1
4,3,locative,orc,The judge that the witnesses addressed on the stand noticed the defense attorneys.,Did the judge address the witnesses?,0
1,3,temporal,src,The judge that addressed the witnesses for two minutes noticed the defense attorneys.,Did the judge address the witnesses?,1
2,3,temporal,orc,The judge that the witnesses addressed for two minutes noticed the defense attorneys.,Did the judge address the witnesses?,0
4,4,locative,src,The sponsor that invited the activist at the festival proposed an annual prize.,Did the sponsor invite the activist?,1
1,4,locative,orc,The sponsor that the activist invited at the festival proposed an annual prize.,Did the sponsor invite the activist?,0
2,4,temporal,src,The sponsor that invited the activist during the festival proposed an annual prize.,Did the sponsor invite the activist?,1
3,4,temporal,orc,The sponsor that the activist invited during the festival proposed an annual prize.,Did the sponsor invite the activist?,0
1,5,locative,src,The pilot that delayed the crew at the airport remained on the runway for a long time.,Did the pilot delay the crew?,1
2,5,locative,orc,The pilot that the crew delayed at the airport remained on the runway for a long time.,Did the pilot delay the crew?,0
3,5,temporal,src,The pilot that delayed the crew for six hours remained on the runway for a long time.,Did the pilot delay the crew?,1
4,5,temporal,orc,The pilot that the crew delayed for six hours remained on the runway for a long time.,Did the pilot delay the crew?,0
2,6,locative,src,The speaker that entertained the economists at the conference predicted economic growth.,Did the speaker entertain the economists?,1
3,6,locative,orc,The speaker that the economists entertained at the conference predicted economic growth.,Did the speaker entertain the economists?,0
4,6,temporal,src,The speaker that entertained the economists during the seminar predicted economic growth.,Did the speaker entertain the economists?,1
1,6,temporal,orc,The speaker that the economists entertained during the seminar predicted economic growth.,Did the speaker entertain the economists?,0
3,7,locative,src,The visitor that introduced the principal at the seminar walked across the courtyard.,Did the visitor introduce the principal?,1
4,7,locative,orc,The visitor that the principal introduced at the seminar walked across the courtyard.,Did the visitor introduce the principal?,0
1,7,temporal,src,The visitor that introduced the principal before the seminar walked across the courtyard.,Did the visitor introduce the principal?,1
2,7,temporal,orc,The visitor that the principal introduced before the seminar walked across the courtyard.,Did the visitor introduce the principal?,0
4,8,locative,src,The assistant that helped the reporter in the office held evidence of bribery.,Did the assistant help the reporter?,1
1,8,locative,orc,The assistant that the reporter helped in the office held evidence of bribery.,Did the assistant help the reporter?,0
2,8,temporal,src,The assistant that helped the reporter in the summer held evidence of bribery.,Did the assistant help the reporter?,1
3,8,temporal,orc,The assistant that the reporter helped in the summer held evidence of bribery.,Did the assistant help the reporter?,0
